,CASH,CASH_yield
1981-01-02,1.0999220531089111,0.0007835616542868418
1981-01-05,1.1070493332605857,0.0012041095576874195
1981-01-06,1.1071423346475415,0.00037041097144558006
1981-01-07,1.102799626586888,0.0003720547924303029
1981-01-08,1.101896577565476,0.0003972602739726027
1981-01-09,1.1000831923026373,0.00040438356791457086
1981-01-12,1.1013372072694625,0.0012493150528163125
1981-01-13,1.101688079925882,0.00041698630868572075
1981-01-14,1.102961583927494,0.00041753424030460727
1981-01-15,1.1025401352624307,0.0004131506828412618
1981-01-16,1.1035071927414857,0.0004178082191780822
1981-01-19,1.1015903426592697,0.0012452054480983786
1981-01-20,1.1044653919920198,0.00043260273868090483
1981-01-21,1.1029260650464419,0.00041972601903627997
1981-01-22,1.1033436019226937,0.00043041095994923213
1981-01-23,1.1039150523861365,0.00043068493882270705
1981-01-26,1.107115504361315,0.0012904109432272713
1981-01-27,1.1083467176180515,0.0004205479556567049
1981-01-28,1.1095237057244873,0.00041643835093877087
1981-01-29,1.1109565160960626,0.0004126027512223753
1981-01-30,1.1128526089219954,0.000407397257138605
1981-02-02,1.1125635062971946,0.0011991780947332512
1981-02-03,1.1132704882872169,0.00040821916763096643
1981-02-04,1.1146507886893635,0.0004068493255197186
1981-02-05,1.1147293311800601,0.0004019178103094232
1981-02-06,1.1121706971968919,0.000403835610167621
1981-02-09,1.112520744690446,0.0012591780571088397
1981-02-10,1.1132975045542848,0.00042520549199352524
1981-02-11,1.1133497420921312,0.000423561644880739
1981-02-13,1.1144405359519443,0.0008515068472248234
1981-02-17,1.1182268957240569,0.0016997260524802013
1981-02-18,1.1193086648819757,0.00041479452995404805
1981-02-19,1.1225812244539644,0.00041150686185653895
1981-02-20,1.125065363838054,0.0003967123162256528
1981-02-23,1.1256145477962207,0.001158082204322292
1981-02-24,1.1264677061472441,0.00038986300115715966
1981-02-25,1.1266352832349396,0.00038767122242548696
1981-02-26,1.1273830829052474,0.0003890410906647983
1981-02-27,1.1273926321110486,0.00038739726968007546
1981-03-02,1.1271151364482912,0.0011687671452352444
1981-03-03,1.1282407811232495,0.00039780823171955265
1981-03-04,1.1281533966101602,0.0003942465847485686
1981-03-05,1.1284898878757075,0.0003969862950991278
